Driver,Team,LapTimeSeconds,LapNumber,Stint,TyreLife,Compound,TrackStatus,PitInTime,PitOutTime
ALB,Williams,88.92,48,3.0,4.0,HARD,1,,
ZHO,Alfa Romeo,89.383,48,3.0,10.0,MEDIUM,1,,
BOT,Alfa Romeo,90.492,48,2.0,18.0,MEDIUM,1,,
SAR,Williams,89.931,48,3.0,6.0,HARD,1,,
MAG,Haas F1 Team,90.657,48,3.0,25.0,HARD,1,,
VER,Red Bull Racing,87.901,49,3.0,5.0,HARD,0,,
LEC,Ferrari,88.396,49,3.0,13.0,HARD,0,,
RUS,Mercedes,88.428,49,3.0,14.0,HARD,0,,
PER,Red Bull Racing,87.926,49,3.0,6.0,HARD,0,,
NOR,McLaren,88.797,49,3.0,15.0,HARD,0,,
PIA,McLaren,89.445,49,3.0,12.0,HARD,0,,
TSU,AlphaTauri,89.951,49,2.0,26.0,HARD,0,,
ALO,Aston Martin,88.5,49,3.0,13.0,HARD,0,,
HAM,Mercedes,88.809,49,3.0,13.0,HARD,0,,
SAI,Ferrari,90.033,49,2.0,25.0,HARD,0,,
OCO,Alpine,90.258,49,2.0,33.0,HARD,0,,
STR,Aston Martin,89.03,49,3.0,6.0,MEDIUM,0,,
RIC,AlphaTauri,88.791,49,3.0,17.0,HARD,0,,
GAS,Alpine,89.518,49,3.0,16.0,HARD,0,,
HUL,Haas F1 Team,90.705,49,3.0,15.0,HARD,0,,
ALB,Williams,88.761,49,3.0,5.0,HARD,0,,
ZHO,Alfa Romeo,89.766,49,3.0,11.0,MEDIUM,0,,
BOT,Alfa Romeo,90.688,49,2.0,19.0,MEDIUM,0,,
SAR,Williams,88.896,49,3.0,7.0,HARD,0,,
MAG,Haas F1 Team,90.553,49,3.0,26.0,HARD,0,,
VER,Red Bull Racing,88.04,50,3.0,6.0,HARD,1,,
LEC,Ferrari,88.258,50,3.0,14.0,HARD,1,,
RUS,Mercedes,88.4,50,3.0,15.0,HARD,1,,
PER,Red Bull Racing,87.758,50,3.0,7.0,HARD,1,,
NOR,McLaren,88.634,50,3.0,16.0,HARD,1,,
PIA,McLaren,88.761,50,3.0,13.0,HARD,1,,
TSU,AlphaTauri,89.643,50,2.0,27.0,HARD,1,,
ALO,Aston Martin,88.619,50,3.0,14.0,HARD,1,,
HAM,Mercedes,88.585,50,3.0,14.0,HARD,1,,
SAI,Ferrari,89.873,50,2.0,26.0,HARD,1,,
OCO,Alpine,90.986,50,2.0,34.0,HARD,1,,
STR,Aston Martin,88.81,50,3.0,7.0,MEDIUM,1,,
RIC,AlphaTauri,89.065,50,3.0,18.0,HARD,1,,
GAS,Alpine,89.549,50,3.0,17.0,HARD,1,,
ALB,Williams,89.011,50,3.0,6.0,HARD,1,,
HUL,Haas F1 Team,90.2,50,3.0,16.0,HARD,1,,
ZHO,Alfa Romeo,89.704,50,3.0,12.0,MEDIUM,1,,
BOT,Alfa Romeo,91.586,50,2.0,20.0,MEDIUM,1,,
SAR,Williams,88.98,50,3.0,8.0,HARD,1,,
MAG,Haas F1 Team,90.509,50,3.0,27.0,HARD,1,,
VER,Red Bull Racing,87.849,51,3.0,7.0,HARD,1,,
LEC,Ferrari,88.695,51,3.0,15.0,HARD,1,,
RUS,Mercedes,88.692,51,3.0,16.0,HARD,1,,
PER,Red Bull Racing,87.866,51,3.0,8.0,HARD,1,,
NOR,McLaren,88.526,51,3.0,17.0,HARD,1,,
PIA,McLaren,88.556,51,3.0,14.0,HARD,1,,
TSU,AlphaTauri,89.529,51,2.0,28.0,HARD,1,,
ALO,Aston Martin,88.491,51,3.0,15.0,HARD,1,,
HAM,Mercedes,88.531,51,3.0,15.0,HARD,1,,
SAI,Ferrari,89.718,51,2.0,27.0,HARD,1,,
STR,Aston Martin,88.801,51,3.0,8.0,MEDIUM,1,,
OCO,Alpine,90.31,51,2.0,35.0,HARD,1,,
RIC,AlphaTauri,89.332,51,3.0,19.0,HARD,1,,
