Driver,Team,LapNumber,micro_sector,Speed,Throttle,Brake,rpm,TyreLife,AirTemp,LapTimeSeconds,TimeSeconds
TSU,AlphaTauri,46,38,293.0,100.0,0.0,11522.0,23.0,26.5,89.41,0.52
SAR,Williams,45,81,181.25,0.0,100.0,9513.75,3.0,26.5,88.791,1.08
RUS,Mercedes,46,50,74.375,23.0,0.0,6548.875,11.0,26.5,88.192,2.16
RIC,AlphaTauri,46,8,162.0,88.0,0.0,10162.75,14.0,26.5,88.708,1.08
NOR,McLaren,46,46,302.3333333333333,99.0,0.0,10640.0,12.0,26.5,88.187,0.88
PIA,McLaren,46,37,295.0,99.0,0.0,10446.5,9.0,26.5,88.806,0.52
HUL,Haas F1 Team,45,93,248.0,92.66666666666667,0.0,11383.333333333334,11.0,26.5,89.5,0.72
TSU,AlphaTauri,46,39,296.0,100.0,0.0,11069.0,23.0,26.5,89.41,0.56
BOT,Alfa Romeo,45,85,139.8,49.4,0.0,8783.6,15.0,26.5,90.495,1.48
OCO,Alpine,46,21,287.5,100.0,0.0,10956.5,30.0,26.5,90.113,0.56
ALB,Williams,45,88,186.5,97.25,0.0,11043.5,1.0,26.5,87.845,1.1600000000000001
GAS,Alpine,46,2,258.0,100.0,0.0,11246.666666666666,13.0,26.5,89.428,0.96
VER,Red Bull Racing,46,60,285.5,100.0,0.0,11280.0,2.0,26.5,87.902,0.56
MAG,Haas F1 Team,45,83,109.66666666666667,53.333333333333336,0.0,8404.833333333334,22.0,26.5,90.11,1.6400000000000001
PER,Red Bull Racing,46,45,308.5,100.0,0.0,10864.0,3.0,26.5,87.914,0.56
PIA,McLaren,46,38,299.5,99.0,0.0,10600.5,9.0,26.5,88.806,0.6000000000000001
STR,Aston Martin,46,12,248.5,99.0,0.0,10442.5,3.0,26.5,88.239,0.6000000000000001
NOR,McLaren,46,47,296.5,15.5,50.0,11051.5,12.0,26.5,88.187,0.6000000000000001
ALO,Aston Martin,46,28,92.83333333333333,42.333333333333336,0.0,8501.333333333334,10.0,26.5,88.55400000000002,1.6400000000000001
LEC,Ferrari,46,52,130.0,85.8,0.0,9943.8,10.0,26.5,88.446,1.28
