Year,Event,Session,Driver,Team,LapNumber,micro_sector,Speed,Throttle,TyreLife,AirTemp,LapTimeSeconds,TimeSeconds
2023,Abu Dhabi,R,VER,Red Bull Racing,3,17,258.32071387428573,100.0,3.0,27.7,90.408,29.5895
2023,Abu Dhabi,R,VER,Red Bull Racing,3,18,274.0993734311662,100.0,3.0,27.7,90.408,30.8916
2023,Abu Dhabi,R,VER,Red Bull Racing,3,19,285.65396825396823,100.0,3.0,27.7,90.408,32.242285714
2023,Abu Dhabi,R,VER,Red Bull Racing,3,20,292.31017846857145,100.0,3.0,27.7,90.408,33.3736
2023,Abu Dhabi,R,VER,Red Bull Racing,3,21,296.9673808050794,100.0,3.0,27.7,90.408,34.5556
2023,Abu Dhabi,R,VER,Red Bull Racing,3,22,300.92849191619047,100.0,3.0,27.7,90.408,35.7937
2023,Abu Dhabi,R,VER,Red Bull Racing,3,23,304.2595832533333,100.0,3.0,27.7,90.408,36.9495
2023,Abu Dhabi,R,VER,Red Bull Racing,3,24,298.65972222222223,43.554633530414435,3.0,27.7,90.408,38.199
2023,Abu Dhabi,R,VER,Red Bull Racing,3,25,190.58359417288432,0.0,3.0,27.7,90.408,39.805133333
2023,Abu Dhabi,R,VER,Red Bull Racing,3,26,83.6861410154762,17.27835415184648,3.0,27.7,90.408,42.93334375
2023,Abu Dhabi,R,VER,Red Bull Racing,3,27,137.41596780511279,83.0015037593985,3.0,27.7,90.408,46.319368421
2023,Abu Dhabi,R,VER,Red Bull Racing,3,28,211.5989332647619,100.0,3.0,27.7,90.408,48.357857142
2023,Abu Dhabi,R,VER,Red Bull Racing,3,29,247.98182157008816,100.0,3.0,27.7,90.408,49.985222222
2023,Abu Dhabi,R,VER,Red Bull Racing,3,30,267.0501671181085,100.0,3.0,27.7,90.408,51.326166666
2023,Abu Dhabi,R,VER,Red Bull Racing,3,31,281.6167363971919,100.0,3.0,27.7,90.408,52.672
2023,Abu Dhabi,R,VER,Red Bull Racing,3,32,290.1900151539596,100.0,3.0,27.7,90.408,53.9116
2023,Abu Dhabi,R,VER,Red Bull Racing,3,33,296.6906561939394,100.0,3.0,27.7,90.408,55.137142857
2023,Abu Dhabi,R,VER,Red Bull Racing,3,34,299.76443457777776,83.937504,3.0,27.7,90.408,56.3165
2023,Abu Dhabi,R,VER,Red Bull Racing,3,35,241.2174516307988,0.0,3.0,27.7,90.408,57.806454545
2023,Abu Dhabi,R,VER,Red Bull Racing,3,36,165.7421260370759,7.212619733333334,3.0,27.7,90.408,59.625470588
2023,Abu Dhabi,R,VER,Red Bull Racing,3,37,170.13728265620915,78.12540365803922,3.0,27.7,90.408,61.752117647
2023,Abu Dhabi,R,VER,Red Bull Racing,3,38,212.1441044244136,100.0,3.0,27.7,90.408,63.651538461
2023,Abu Dhabi,R,VER,Red Bull Racing,3,39,241.31770853333333,100.0,3.0,27.7,90.408,65.200333333
2023,Abu Dhabi,R,VER,Red Bull Racing,3,40,261.7656359915516,100.0,3.0,27.7,90.408,66.675090909
2023,Abu Dhabi,R,VER,Red Bull Racing,3,41,258.00016336531024,27.585236363636362,3.0,27.7,90.408,68.000818181
2023,Abu Dhabi,R,VER,Red Bull Racing,3,42,171.9530271172285,0.0,3.0,27.7,90.408,69.866846153
2023,Abu Dhabi,R,VER,Red Bull Racing,3,43,114.5965074305459,32.875400211825514,3.0,27.7,90.408,72.444041666
2023,Abu Dhabi,R,VER,Red Bull Racing,3,44,141.40486753862433,40.66225717756614,3.0,27.7,90.408,75.189277777
2023,Abu Dhabi,R,VER,Red Bull Racing,3,45,148.8008179903641,46.26520008872366,3.0,27.7,90.408,77.722
2023,Abu Dhabi,R,VER,Red Bull Racing,3,46,197.017073430393,100.0,3.0,27.7,90.408,79.732615384
